nhl	nhl-buf-mon-2026-05-10	Sabres	Canadiens
nhl	nhl-nyr-bos-2025-11-28	Rangers	Bruins
nhl	nhl-tb-las-2025-11-06	Lightning	Golden Knights
nhl	nhl-las-buf-2025-03-15	Golden Knights	Sabres
nhl	nhl-las-mon-2026-01-27	Golden Knights	Canadiens
nhl	nhl-car-wpg-2025-11-21	Hurricanes	Jets
nhl	nhl-bos-sea-2026-01-06	Bruins	Kraken
nhl	nhl-det-car-2026-02-28	Red Wings	Hurricanes
nhl	nhl-stl-wpg-2025-04-30	Blues	Jets
nhl	nhl-wpg-sea-2025-11-13	Jets	Kraken
nhl	nhl-lak-pit-2025-11-09	Kings	Penguins
nhl	nhl-ott-mon-2025-03-18	Senators	Canadiens
nhl	nhl-wsh-mon-2026-02-28	Capitals	Canadiens
nhl	nhl-tor-ana-2026-03-30	Maple Leafs	Ducks
nhl	nhl-utah-chi-2025-03-30	Utah	Blackhawks
nhl	nhl-bos-stl-2025-12-10	Bruins	Blues
nhl	nhl-min-van-2025-12-07	Wild	Canucks
nhl	nhl-min-ana-2024-12-06	Wild	Ducks
nhl	nhl-nyi-cbj-2025-04-17	Islanders	Blue Jackets
nhl	nhl-wpg-car-2025-11-28	Jets	Hurricanes
nhl	nhl-col-cbj-2025-10-16	Avalanche	Blue Jackets
nhl	nhl-phi-chi-2025-12-23	Flyers	Blackhawks
nhl	nhl-nyr-ana-2025-03-28	Rangers	Ducks
nhl	nhl-tor-det-2025-10-11	Maple Leafs	Red Wings
nhl	nhl-mon-tor-2025-04-12	Canadiens	Maple Leafs
nhl	nhl-stl-bos-2025-12-04	Blues	Bruins
nhl	nhl-dal-col-2025-04-26	Stars	Avalanche
nhl	nhl-nyi-tb-2025-03-29	Islanders	Lightning
wnba	wnba-tor-las-2026-08-28	Toronto Tempo	Las Vegas Aces
wnba	wnba-sea-dal-2025-05-19	Storm	Wings
wnba	wnba-chi-nyl-2025-08-21	Sky	Liberty
wnba	wnba-por-las-2026-07-28	PortlandFire	Las Vegas Aces
wnba	wnba-nyl-phx-2025-09-19	Liberty	Mercury
wnba	wnba-sea-chi-2026-07-15	Seattle Storm	Chicago Sky
wnba	wnba-conn-ind-2025-05-30	Sun	Fever
wnba	wnba-gsv-sea-2026-06-12	Golden State Valkyries	Seattle Storm
wnba	wnba-nyl-las-2026-07-30	New York Liberty	Las Vegas Aces
wnba	wnba-gsv-las-2025-08-03	Valkyries	Aces
wnba	wnba-wsh-atl-2026-06-06	Washington Mystics	Atlanta Dream
wnba	wnba-nyl-la-2026-07-28	New York Liberty	Los Angeles Sparks
wnba	wnba-min-chi-2025-07-14	Lynx	Sky
wnba	wnba-tor-atl-2026-08-10	Toronto Tempo	Atlanta Dream
wnba	wnba-la-por-2026-05-03	Los Angeles Sparks	Portland Fire
wnba	wnba-chi-gsv-2026-05-13	Chicago Sky	Golden State Valkyries
wnba	wnba-ind-wsh-2026-06-08	Indiana Fever	Washington Mystics
wnba	wnba-wsh-las-2026-08-13	Washington Mystics	Las Vegas Aces
wnba	wnba-min-gsv-2025-09-17	Lynx	Valkyries
wnba	wnba-nyl-ind-2026-07-18	New York Liberty	Indiana Fever
wnba	wnba-nyl-dal-2026-07-16	New York Liberty	Dallas Wings
