grp,condition_id,n,sum_edge
band g. 90-98c,0x142c2e661daab85793a348abcd6927f04f15b058021e7c0cfeae458e7325ced7,2,0.110000
all sells,0xe8791038300a33a37645044fe40292c268183bf079808a833c1e7bb8d3b0955e,13,-7.978117
band d. 40-60c,0x75d0a09c2f8c3b76d03dec574cbb2b5c8c4eb8735e34784571b83ccd2ebec454,1,-0.500000
all sells,0x0dbd018277c5efdd8b5d40f3231e321843dbc63c8681179d2b64361117a4d0a0,1,0.220000
band c. 20-40c,0xf93a4364c1f78c84cd71f460ea43a4d7e92f75e115cae005f51d9dcde582230a,1,0.605426
all sells,0xfd0951fef7b5428b7a0f3fb494aee789d0ff149c95ff7a02a8d05e39fb1fa0fc,1,0.039537
band e. 60-80c,0xe9e3d24aaeb9a3cadc276f2696b916d8c9b47b6737c0112d9699899880acda1d,1,0.220000
all sells,0xd4b655d492d3b2782146b06867af802bff0c75f47118aa367ac66e0e8c91f3ff,2,0.040000
all sells,0x635a75e500a66936c42b4b4b5f8a12f049f951725f39c35925218368bf8618ec,1,-0.470000
all sells,0x1d083abb24276e7cbece1b545a98c8abff7da8788904cb951d777d74ac480207,2,0.334266
all sells,0x8bee37cd65d1802590b9cdfde45de3050eff27492ee3e3d691a56283d588f786,3,0.259971
band g. 90-98c,0x8195a99c93660e18bc49209359cf9cb539af42cfa00cb5000f6f5aeecef8dc57,1,0.062149
all sells,0x4235e7294126f0b1aec8a690f60389555d858c2b9fe2f98761b83bf5735447c4,1,0.233791
all sells,0x99f0c39e4235d840bd25d2c229b2cda57cc087b6b8c2780f804fffeed0d0c628,30,7.845677
all sells,0xc1143157dd8b1f11df1e7f76d2c1aec4b78cb3ab8cbffc48131be40fcb4aa024,1,0.583760
all sells,0x22ea42acbfe211b5e99b605af90efd9bb888912f170c8371ababf4c6ad05e448,1,0.066176
band f. 80-90c,0x59d1ceb5aeaac8ecc5d9b7e8b5291df675d39a234cfdfc9cbc9444cf406a40f6,2,0.397110
all sells,0x54e8a5920ba77ae649ca0354ef421d74cceb0e718ad96b77587f9f8aa1e0c999,1,-0.500000
band g. 90-98c,0x9eaa73fc87cce1e0217374ab12e5e5d2ac9f21a2f3aaef62cb2a2b4d754ade71,4,0.284321
